,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
5980,Northern Arizona,32,19,13,0.594,0.62,-3.72,9.0,7.0,13.0,1.0,6.0,12.0,2299.0,2078.0,0.339,0.278,0.567,50.5,64.2,11.5,0.545,17.1,0.226,4.0,Big Sky,-1,False,False,False,2011
5981,Northern Colorado,32,21,11,0.656,1.39,-2.24,13.0,3.0,14.0,0.0,6.0,9.0,2287.0,2105.0,0.434,0.385,0.555,53.6,50.8,6.4,0.502,18.1,0.334,1.0,Big Sky,15.0,True,False,False,2011
5982,Northern Illinois,30,9,21,0.3,-8.05,-2.26,5.0,11.0,6.0,8.0,3.0,13.0,2055.0,2199.0,0.385,0.317,0.513,50.6,50.6,6.3,0.472,17.6,0.269,10.0,MAC,-1,False,False,False,2011
5983,Northern Iowa,34,20,14,0.588,4.53,2.04,10.0,8.0,13.0,5.0,5.0,8.0,2167.0,2046.0,0.355,0.427,0.545,49.0,49.3,5.5,0.501,13.6,0.271,5.0,MVC,-1,False,False,False,2011
5984,Northwestern,34,20,14,0.588,11.66,7.54,7.0,11.0,13.0,4.0,5.0,9.0,2441.0,2301.0,0.3,0.452,0.563,47.6,66.6,9.2,0.534,13.4,0.219,8.0,Big Ten,-1,False,False,False,2011
5985,Northwestern State,32,18,14,0.563,-8.88,-7.02,10.0,6.0,13.0,3.0,5.0,10.0,2462.0,2482.0,0.491,0.326,0.532,47.7,51.2,17.6,0.499,19.0,0.313,2.0,Southland,-1,False,False,False,2011
5986,Notre Dame,34,27,7,0.794,18.17,8.43,14.0,4.0,17.0,0.0,5.0,4.0,2558.0,2227.0,0.451,0.386,0.575,53.2,66.8,9.6,0.535,14.1,0.327,2.0,Big East,2.0,True,False,False,2011
5987,Oakland,35,25,10,0.714,8.28,0.1,17.0,1.0,10.0,1.0,10.0,7.0,2992.0,2690.0,0.39,0.359,0.591,53.4,54.0,12.2,0.559,15.7,0.281,1.0,Summit,13.0,True,False,False,2011
5988,Ohio,35,19,16,0.543,0.59,-1.01,9.0,7.0,11.0,8.0,7.0,6.0,2604.0,2548.0,0.373,0.356,0.537,50.2,59.5,6.7,0.498,16.3,0.268,4.0,MAC,-1,False,False,False,2011
5989,Ohio State,37,34,3,0.919,25.84,8.38,16.0,2.0,20.0,0.0,9.0,2.0,2854.0,2208.0,0.371,0.327,0.589,53.8,57.7,9.1,0.563,13.4,0.26,1.0,Big Ten,1.0,True,False,False,2011
5990,Oklahoma,32,14,18,0.438,3.71,6.42,5.0,11.0,12.0,4.0,1.0,10.0,2111.0,2199.0,0.359,0.356,0.547,48.0,54.2,7.7,0.508,18.4,0.265,10.0,Big 12,-1,False,False,False,2011
5991,Oklahoma State,34,20,14,0.588,8.53,6.94,6.0,10.0,14.0,2.0,1.0,10.0,2318.0,2264.0,0.451,0.267,0.526,51.4,42.7,8.4,0.475,17.2,0.327,9.0,Big 12,-1,False,False,False,2011
5992,Old Dominion,34,27,7,0.794,9.03,1.76,14.0,4.0,14.0,2.0,7.0,4.0,2231.0,1984.0,0.376,0.276,0.518,58.6,60.4,13.2,0.485,16.4,0.251,2.0,CAA,9.0,True,False,False,2011
5993,Oral Roberts,35,19,16,0.543,0.86,-1.17,13.0,5.0,9.0,3.0,7.0,10.0,2615.0,2544.0,0.409,0.271,0.561,50.7,48.2,7.5,0.524,16.3,0.293,2.0,Summit,-1,False,False,False,2011
5994,Oregon,39,21,18,0.538,6.92,6.92,7.0,11.0,16.0,8.0,3.0,8.0,2737.0,2704.0,0.308,0.352,0.522,48.5,56.1,7.8,0.485,15.4,0.227,7.0,Pac-10,-1,False,False,False,2011
5995,Oregon State,31,11,20,0.355,1.51,5.03,5.0,13.0,9.0,7.0,1.0,12.0,2147.0,2256.0,0.436,0.305,0.515,49.8,50.7,6.8,0.473,18.5,0.297,9.0,Pac-10,-1,False,False,False,2011
5996,Pacific,31,16,15,0.516,0.75,-0.88,8.0,8.0,8.0,5.0,6.0,9.0,2038.0,1945.0,0.347,0.413,0.545,51.7,61.8,5.8,0.512,16.0,0.244,5.0,Big West,-1,False,False,False,2011
5997,Penn State,34,19,15,0.559,11.98,11.45,9.0,9.0,13.0,5.0,3.0,8.0,2144.0,2126.0,0.311,0.365,0.534,51.0,53.8,7.4,0.501,15.1,0.225,7.0,Big Ten,-1,False,False,False,2011
5998,Pennsylvania,28,13,15,0.464,-2.99,-1.64,7.0,7.0,7.0,5.0,5.0,10.0,1868.0,1906.0,0.378,0.354,0.559,48.7,58.7,6.9,0.52,18.8,0.279,4.0,Ivy,-1,False,False,False,2011
5999,Pepperdine,33,12,21,0.364,-3.91,1.43,5.0,9.0,7.0,7.0,2.0,13.0,2289.0,2442.0,0.404,0.292,0.518,51.5,52.9,8.3,0.472,16.6,0.29,6.0,WCC,-1,False,False,False,2011
6000,Pittsburgh,34,28,6,0.824,20.82,7.85,15.0,3.0,17.0,1.0,7.0,2.0,2514.0,2073.0,0.431,0.274,0.559,57.8,67.2,9.0,0.529,15.0,0.289,1.0,Big East,1.0,True,False,False,2011
6001,Portland,32,20,12,0.625,4.7,2.2,7.0,7.0,13.0,2.0,7.0,7.0,2272.0,2192.0,0.33,0.337,0.562,52.6,55.9,9.1,0.527,17.0,0.245,5.0,WCC,-1,False,False,False,2011
6002,Portland State,30,14,16,0.467,-7.74,-4.47,5.0,11.0,10.0,5.0,2.0,11.0,2169.0,2230.0,0.38,0.354,0.541,47.5,52.3,5.7,0.501,15.7,0.276,7.0,Big Sky,-1,False,False,False,2011
6003,Prairie View,32,10,22,0.313,-19.63,-8.77,7.0,11.0,8.0,3.0,1.0,16.0,2011.0,2242.0,0.31,0.349,0.456,48.6,49.9,9.9,0.434,17.8,0.179,7.0,SWAC,-1,False,False,False,2011
6004,Presbyterian,31,13,18,0.419,-7.72,-2.85,7.0,11.0,6.0,5.0,6.0,12.0,1915.0,2066.0,0.305,0.365,0.547,47.4,54.1,4.7,0.515,19.6,0.222,7.0,Big South,-1,False,False,False,2011
6005,Princeton,32,25,7,0.781,3.71,-1.61,13.0,2.0,12.0,0.0,10.0,5.0,2215.0,2017.0,0.359,0.313,0.558,53.1,54.2,10.7,0.522,16.4,0.263,1.0,Ivy,13.0,True,False,False,2011
6006,Providence,32,15,17,0.469,6.91,6.44,4.0,14.0,14.0,5.0,0.0,10.0,2426.0,2411.0,0.376,0.334,0.512,50.5,46.7,10.0,0.477,14.7,0.251,14.0,Big East,-1,False,False,False,2011
6007,Purdue,34,26,8,0.765,19.36,8.69,14.0,4.0,16.0,0.0,7.0,5.0,2466.0,2103.0,0.344,0.33,0.542,51.4,61.5,10.5,0.507,13.5,0.246,2.0,Big Ten,3.0,True,False,False,2011
6008,Purdue-Fort Wayne,30,18,12,0.6,-2.17,-5.17,11.0,7.0,11.0,3.0,7.0,8.0,2230.0,2103.0,0.354,0.372,0.57,49.8,56.9,8.4,0.529,15.7,0.273,4.0,Summit,-1,False,False,False,2011
6009,Quinnipiac,32,22,10,0.688,-2.08,-6.39,13.0,5.0,12.0,6.0,9.0,4.0,2295.0,2157.0,0.352,0.257,0.497,56.1,58.8,9.6,0.472,14.8,0.215,2.0,NEC,-1,False,False,False,2011
6010,Radford,29,5,24,0.172,-16.76,-2.52,2.0,16.0,5.0,8.0,0.0,16.0,1734.0,2065.0,0.413,0.289,0.465,47.8,49.2,8.8,0.426,20.3,0.259,10.0,Big South,-1,False,False,False,2011
6011,Rhode Island,34,20,14,0.588,3.34,1.9,9.0,7.0,12.0,4.0,6.0,8.0,2316.0,2267.0,0.304,0.368,0.516,48.9,50.1,10.7,0.484,15.6,0.213,6.0,A-10,-1,False,False,False,2011
6012,Rice,32,14,18,0.438,1.67,2.67,5.0,11.0,9.0,7.0,3.0,8.0,2148.0,2149.0,0.432,0.302,0.525,51.8,56.7,7.9,0.477,16.1,0.313,10.0,CUSA,-1,False,False,False,2011
6013,Richmond,37,29,8,0.784,11.23,2.79,13.0,3.0,12.0,3.0,10.0,3.0,2577.0,2265.0,0.323,0.366,0.557,48.5,59.4,10.8,0.531,14.2,0.222,3.0,A-10,12.0,True,False,False,2011
6014,Rider,34,23,11,0.676,1.62,-2.67,13.0,5.0,9.0,5.0,11.0,5.0,2486.0,2340.0,0.35,0.351,0.556,49.2,53.8,11.0,0.535,17.3,0.227,3.0,MAAC,-1,False,False,False,2011
6015,Robert Morris,32,18,14,0.563,-0.8,-2.61,12.0,6.0,11.0,2.0,7.0,12.0,2153.0,2095.0,0.354,0.336,0.514,50.4,58.0,6.6,0.48,16.8,0.242,3.0,NEC,-1,False,False,False,2011
6016,Rutgers,32,15,17,0.469,7.88,7.22,5.0,13.0,10.0,6.0,3.0,10.0,2122.0,2101.0,0.317,0.286,0.519,49.2,55.4,14.5,0.49,16.0,0.214,13.0,Big East,-1,False,False,False,2011
6017,Sacramento State,28,7,21,0.25,-14.01,-4.05,4.0,12.0,6.0,7.0,1.0,13.0,1729.0,1948.0,0.385,0.343,0.494,50.7,58.0,9.5,0.453,19.1,0.262,9.0,Big Sky,-1,False,False,False,2011
6018,Sacred Heart,29,11,18,0.379,-9.4,-6.12,6.0,12.0,5.0,7.0,6.0,10.0,1922.0,2017.0,0.376,0.305,0.521,49.6,51.2,9.0,0.482,19.6,0.264,10.0,NEC,-1,False,False,False,2011
6019,Saint Francis (PA),30,9,21,0.3,-11.5,-3.84,7.0,11.0,7.0,5.0,2.0,16.0,1957.0,2187.0,0.363,0.322,0.526,47.8,58.8,8.2,0.484,19.9,0.264,9.0,NEC,-1,False,False,False,2011
6020,Saint Joseph's,33,11,22,0.333,-1.75,3.46,4.0,12.0,5.0,9.0,4.0,12.0,2129.0,2301.0,0.34,0.352,0.51,46.9,55.3,14.5,0.473,14.8,0.241,12.0,A-10,-1,False,False,False,2011
6021,Saint Louis,31,12,19,0.387,2.83,3.06,6.0,10.0,9.0,7.0,1.0,10.0,1953.0,1933.0,0.328,0.318,0.516,48.8,58.9,8.9,0.488,17.9,0.216,11.0,A-10,-1,False,False,False,2011
6022,Saint Mary's (CA),34,25,9,0.735,13.04,1.95,11.0,3.0,15.0,3.0,6.0,4.0,2684.0,2253.0,0.338,0.382,0.593,53.1,59.3,8.2,0.559,14.4,0.257,1.0,WCC,-1,False,False,False,2011
6023,Saint Peter's,34,20,14,0.588,-0.28,-1.08,11.0,7.0,8.0,3.0,8.0,8.0,2069.0,2042.0,0.389,0.322,0.49,49.3,53.7,12.4,0.455,19.5,0.25,4.0,MAAC,-1,False,False,False,2011
6024,Sam Houston State,31,18,13,0.581,-2.38,-3.9,10.0,6.0,9.0,5.0,7.0,6.0,2161.0,2049.0,0.38,0.357,0.524,53.1,70.0,6.1,0.493,17.8,0.251,7.0,Southland,-1,False,False,False,2011
6025,Samford,31,12,19,0.387,-11.39,-4.22,4.0,14.0,6.0,8.0,5.0,9.0,1880.0,2072.0,0.355,0.53,0.549,42.8,65.2,4.9,0.522,19.6,0.24,6.0,Southern,-1,False,False,False,2011
6026,San Diego,30,6,24,0.2,-8.6,3.18,2.0,12.0,5.0,9.0,0.0,12.0,1826.0,2114.0,0.369,0.324,0.511,44.7,52.7,7.6,0.476,19.8,0.251,8.0,WCC,-1,False,False,False,2011
6027,San Diego State,37,34,3,0.919,17.96,6.36,14.0,2.0,14.0,1.0,11.0,1.0,2660.0,2192.0,0.305,0.298,0.543,54.9,50.4,12.0,0.515,14.1,0.213,1.0,MWC,2.0,True,False,False,2011
6028,San Francisco,34,19,15,0.559,1.78,3.06,10.0,4.0,13.0,4.0,5.0,8.0,2384.0,2401.0,0.385,0.357,0.533,52.3,51.9,6.4,0.498,18.1,0.265,3.0,WCC,-1,False,False,False,2011
6029,San Jose State,33,17,16,0.515,-1.54,-0.08,5.0,11.0,9.0,6.0,6.0,9.0,2391.0,2405.0,0.377,0.278,0.507,51.0,50.2,6.6,0.456,13.3,0.284,8.0,WAC,-1,False,False,False,2011
6030,Santa Clara,38,24,14,0.632,3.06,1.25,8.0,6.0,15.0,5.0,8.0,6.0,2810.0,2690.0,0.469,0.368,0.544,53.2,53.6,8.4,0.495,17.1,0.34,4.0,WCC,-1,False,False,False,2011
6033,Seton Hall,31,13,18,0.419,11.03,9.33,7.0,11.0,8.0,7.0,4.0,7.0,2092.0,2039.0,0.313,0.332,0.495,48.7,55.6,9.0,0.464,15.3,0.211,12.0,Big East,-1,False,False,False,2011
6034,Siena,31,13,18,0.419,-3.83,-1.71,8.0,10.0,8.0,7.0,4.0,10.0,2103.0,2169.0,0.335,0.26,0.493,52.1,49.6,9.5,0.457,17.2,0.228,7.0,MAAC,-1,False,False,False,2011
6035,South Alabama,28,12,16,0.429,-9.8,-4.34,6.0,10.0,8.0,6.0,4.0,9.0,1969.0,2041.0,0.412,0.294,0.509,50.1,49.9,12.3,0.472,17.0,0.274,4.0,Sun Belt,-1,False,False,False,2011
6036,South Carolina,30,14,16,0.467,4.17,5.6,5.0,11.0,11.0,6.0,3.0,9.0,2027.0,2070.0,0.272,0.353,0.478,50.1,44.1,15.8,0.45,15.9,0.18,6.0,SEC,-1,False,False,False,2011
6037,South Carolina State,32,10,22,0.313,-16.71,-8.57,5.0,11.0,8.0,6.0,1.0,13.0,2119.0,2276.0,0.344,0.314,0.511,50.9,50.4,10.3,0.479,20.6,0.232,8.0,MEAC,-1,False,False,False,2011
6038,South Carolina Upstate,30,5,25,0.167,-12.44,-0.94,4.0,16.0,3.0,8.0,2.0,14.0,1746.0,2091.0,0.28,0.438,0.459,47.8,54.6,10.2,0.436,18.8,0.168,11.0,A-Sun,-1,False,False,False,2011
6039,South Dakota,33,18,15,0.545,-9.72,-10.48,7.0,5.0,13.0,2.0,3.0,11.0,2632.0,2507.0,0.365,0.35,0.544,49.7,51.9,6.3,0.516,14.7,0.243,4.0,GWC,-1,False,False,False,2011
6040,South Dakota State,31,19,12,0.613,3.1,-4.04,10.0,8.0,10.0,5.0,8.0,6.0,2533.0,2285.0,0.353,0.353,0.57,50.4,53.3,6.4,0.538,12.2,0.257,5.0,Summit,-1,False,False,False,2011
6041,South Florida,33,10,23,0.303,4.28,8.89,3.0,15.0,7.0,9.0,1.0,12.0,2044.0,2196.0,0.381,0.306,0.506,52.0,57.2,9.6,0.462,19.7,0.271,15.0,Big East,-1,False,False,False,2011
6042,Southeast Missouri State,32,10,22,0.313,-12.27,-5.4,6.0,12.0,5.0,8.0,4.0,13.0,2117.0,2281.0,0.473,0.285,0.515,49.8,53.2,9.4,0.484,18.4,0.293,8.0,OVC,-1,False,False,False,2011
6043,Southeastern Louisiana,29,15,14,0.517,-8.93,-5.4,9.0,7.0,9.0,2.0,5.0,10.0,2031.0,2003.0,0.378,0.327,0.533,49.4,58.9,9.9,0.493,17.0,0.273,3.0,Southland,-1,False,False,False,2011
6044,Southern,30,4,26,0.133,-25.62,-9.47,3.0,15.0,3.0,11.0,1.0,13.0,1701.0,2162.0,0.344,0.324,0.458,44.9,57.4,8.5,0.43,21.1,0.205,10.0,SWAC,-1,False,False,False,2011
6045,Southern California,34,19,15,0.559,11.52,7.97,10.0,8.0,12.0,4.0,5.0,8.0,2252.0,2131.0,0.354,0.315,0.526,50.7,49.4,8.4,0.499,15.4,0.23,4.0,Pac-10,-1,False,False,False,2011
6046,Southern Illinois,32,13,19,0.406,-2.46,1.48,5.0,13.0,8.0,8.0,3.0,9.0,1953.0,2079.0,0.384,0.271,0.51,51.0,52.8,7.1,0.471,19.2,0.266,8.0,MVC,-1,False,False,False,2011
6048,Southern Methodist,35,20,15,0.571,1.04,-0.39,8.0,8.0,15.0,7.0,5.0,7.0,2262.0,2147.0,0.337,0.43,0.597,47.3,61.9,9.1,0.567,20.5,0.25,7.0,CUSA,-1,False,False,False,2011
6049,Southern Mississippi,32,22,10,0.688,8.41,1.9,9.0,7.0,13.0,2.0,6.0,6.0,2371.0,2093.0,0.413,0.257,0.544,55.3,46.1,10.5,0.5,14.8,0.301,5.0,CUSA,-1,False,False,False,2011
6050,Southern Utah,30,11,19,0.367,-7.8,-3.44,7.0,11.0,6.0,8.0,4.0,8.0,2077.0,2192.0,0.455,0.181,0.543,52.1,57.5,12.5,0.499,20.0,0.323,8.0,Summit,-1,False,False,False,2011
6051,St. Bonaventure,31,16,15,0.516,1.31,1.73,8.0,8.0,10.0,5.0,6.0,9.0,2156.0,2169.0,0.438,0.295,0.547,52.1,53.5,8.7,0.508,18.9,0.306,7.0,A-10,-1,False,False,False,2011
6052,St. Francis (NY),30,15,15,0.5,-5.45,-5.85,10.0,8.0,10.0,3.0,5.0,10.0,2002.0,1990.0,0.401,0.399,0.499,47.0,51.9,6.5,0.461,16.6,0.265,5.0,NEC,-1,False,False,False,2011
6053,St. John's (NY),33,21,12,0.636,13.1,10.01,12.0,6.0,13.0,3.0,5.0,7.0,2313.0,2211.0,0.442,0.241,0.539,49.5,51.7,9.2,0.495,16.0,0.314,5.0,Big East,6.0,True,False,False,2011
6054,Stanford,31,15,16,0.484,6.4,5.17,7.0,11.0,11.0,5.0,3.0,8.0,2058.0,2020.0,0.377,0.332,0.521,51.2,49.9,9.7,0.49,17.4,0.248,8.0,Pac-10,-1,False,False,False,2011
6055,Stephen F. Austin,29,18,11,0.621,-3.29,-7.73,9.0,7.0,13.0,3.0,5.0,7.0,1926.0,1643.0,0.368,0.234,0.534,55.8,60.3,4.1,0.494,18.3,0.266,9.0,Southland,-1,False,False,False,2011
6056,Stetson,31,8,23,0.258,-10.73,-2.86,6.0,14.0,5.0,8.0,3.0,12.0,1986.0,2228.0,0.413,0.336,0.506,48.7,42.1,8.8,0.477,20.3,0.256,10.0,A-Sun,-1,False,False,False,2011
6057,Stony Brook,32,15,17,0.469,-6.85,-6.2,8.0,8.0,7.0,7.0,6.0,10.0,1951.0,1934.0,0.318,0.36,0.477,49.8,44.9,8.5,0.444,16.2,0.209,5.0,AEC,-1,False,False,False,2011
6058,Syracuse,35,27,8,0.771,18.85,8.79,12.0,6.0,16.0,3.0,6.0,3.0,2568.0,2216.0,0.36,0.317,0.553,52.5,60.5,18.9,0.528,15.7,0.239,3.0,Big East,3.0,True,False,False,2011
6059,TCU,33,11,22,0.333,0.96,3.93,1.0,15.0,8.0,8.0,1.0,11.0,2220.0,2318.0,0.287,0.325,0.519,48.8,57.7,6.3,0.493,16.3,0.193,9.0,MWC,-1,False,False,False,2011
6060,Temple,34,26,8,0.765,12.35,4.23,14.0,2.0,14.0,0.0,7.0,4.0,2400.0,2124.0,0.338,0.3,0.532,51.8,58.9,11.3,0.5,14.0,0.236,2.0,A-10,7.0,True,False,False,2011
6061,Tennessee,34,19,15,0.559,11.08,8.73,8.0,8.0,10.0,8.0,5.0,4.0,2376.0,2296.0,0.397,0.3,0.515,52.6,52.9,10.6,0.476,16.4,0.272,5.0,SEC,9.0,True,False,False,2011
6062,Tennessee State,30,14,16,0.467,-7.12,-4.73,10.0,8.0,11.0,2.0,3.0,13.0,2044.0,2040.0,0.394,0.369,0.542,49.7,55.2,9.4,0.494,19.3,0.3,5.0,OVC,-1,False,False,False,2011
6063,Tennessee Tech,33,20,13,0.606,-5.64,-5.77,12.0,6.0,10.0,5.0,7.0,7.0,2462.0,2307.0,0.429,0.235,0.549,53.5,51.9,5.9,0.519,19.3,0.284,4.0,OVC,-1,False,False,False,2011
6064,Tennessee-Martin,33,12,21,0.364,-12.77,-5.0,6.0,12.0,7.0,7.0,4.0,13.0,2264.0,2454.0,0.389,0.302,0.52,47.6,46.6,6.4,0.472,18.8,0.288,7.0,OVC,-1,False,False,False,2011
6065,Texas,36,28,8,0.778,20.82,7.96,13.0,3.0,16.0,2.0,7.0,3.0,2701.0,2238.0,0.431,0.255,0.534,54.3,50.8,11.7,0.502,14.4,0.282,2.0,Big 12,4.0,True,False,False,2011
6066,Texas A&M,33,24,9,0.727,12.62,5.94,10.0,6.0,15.0,2.0,5.0,4.0,2254.0,2009.0,0.465,0.311,0.537,54.7,58.6,4.5,0.494,16.9,0.324,3.0,Big 12,7.0,True,False,False,2011
6067,Texas A&M-Corpus Christi,31,10,21,0.323,-12.31,-2.09,5.0,11.0,6.0,7.0,2.0,12.0,1943.0,2194.0,0.422,0.308,0.511,50.8,51.2,9.3,0.478,22.1,0.272,12.0,Southland,-1,False,False,False,2011
6068,Texas Southern,32,19,13,0.594,-10.14,-9.02,16.0,2.0,9.0,1.0,8.0,11.0,2056.0,2092.0,0.477,0.379,0.517,49.3,56.7,10.0,0.483,20.9,0.301,1.0,SWAC,-1,False,False,False,2011
6069,Texas State,32,16,16,0.5,-7.65,-5.89,10.0,6.0,11.0,3.0,3.0,9.0,2506.0,2510.0,0.454,0.3,0.534,49.9,50.8,8.1,0.497,17.2,0.305,8.0,Southland,-1,False,False,False,2011
6070,Texas Tech,32,13,19,0.406,4.02,6.18,5.0,11.0,11.0,7.0,2.0,9.0,2342.0,2411.0,0.381,0.265,0.535,48.5,51.7,10.1,0.493,16.8,0.278,11.0,Big 12,-1,False,False,False,2011
6071,Texas-Rio Grande Valley,31,6,25,0.194,-16.55,-6.41,2.0,10.0,5.0,9.0,0.0,14.0,2114.0,2357.0,0.433,0.386,0.535,47.7,54.7,4.9,0.498,19.4,0.294,6.0,GWC,-1,False,False,False,2011
6072,The Citadel,32,10,22,0.313,-9.84,-2.84,6.0,12.0,6.0,8.0,3.0,12.0,2049.0,2237.0,0.308,0.278,0.508,52.0,53.5,4.1,0.472,16.8,0.221,11.0,Southern,-1,False,False,False,2011
6073,Toledo,32,4,28,0.125,-14.75,-0.88,1.0,15.0,4.0,12.0,0.0,16.0,1853.0,2247.0,0.423,0.341,0.496,47.2,61.7,4.6,0.462,21.4,0.265,12.0,MAC,-1,False,False,False,2011
6074,Towson,30,4,26,0.133,-8.06,-0.52,0.0,18.0,2.0,12.0,2.0,13.0,2053.0,2279.0,0.376,0.308,0.533,47.2,47.8,7.5,0.493,15.8,0.272,12.0,CAA,-1,False,False,False,2011
6075,Troy,29,8,21,0.276,-9.48,-2.05,6.0,10.0,5.0,6.0,2.0,13.0,2076.0,2243.0,0.298,0.414,0.506,48.9,53.9,9.9,0.479,16.8,0.198,5.0,Sun Belt,-1,False,False,False,2011
6076,Tulane,30,13,17,0.433,-0.28,-0.68,3.0,13.0,9.0,6.0,4.0,10.0,2057.0,1975.0,0.363,0.384,0.533,48.9,56.9,8.1,0.5,16.0,0.25,12.0,CUSA,-1,False,False,False,2011
6077,Tulsa,32,19,13,0.594,6.06,3.25,11.0,5.0,12.0,3.0,4.0,7.0,2255.0,2165.0,0.444,0.357,0.542,54.0,48.5,9.9,0.501,17.5,0.312,3.0,CUSA,-1,False,False,False,2011
6078,UAB,31,22,9,0.71,8.55,2.78,12.0,4.0,13.0,2.0,8.0,5.0,2119.0,1940.0,0.297,0.405,0.538,51.7,55.6,8.2,0.508,16.4,0.213,1.0,CUSA,-1,False,False,False,2011
6079,UC Davis,30,10,20,0.333,-5.69,-1.9,4.0,12.0,7.0,7.0,3.0,11.0,2136.0,2194.0,0.345,0.393,0.567,45.9,60.5,6.3,0.534,18.3,0.251,9.0,Big West,-1,False,False,False,2011
6080,UC Irvine,32,13,19,0.406,-3.78,-2.36,6.0,10.0,9.0,6.0,4.0,12.0,2411.0,2419.0,0.414,0.357,0.532,47.8,48.9,4.9,0.485,15.4,0.304,7.0,Big West,-1,False,False,False,2011
6081,UC Riverside,31,12,19,0.387,-8.26,-1.4,6.0,10.0,7.0,5.0,4.0,11.0,2044.0,2164.0,0.328,0.264,0.503,50.3,50.2,12.0,0.47,17.5,0.224,8.0,Big West,-1,False,False,False,2011
6082,UC Santa Barbara,32,18,14,0.563,1.22,0.12,8.0,8.0,9.0,4.0,5.0,8.0,2170.0,2105.0,0.373,0.373,0.563,49.6,61.6,12.2,0.523,19.1,0.281,4.0,Big West,15.0,True,False,False,2011
6083,UCLA,34,23,11,0.676,11.7,7.93,13.0,5.0,16.0,2.0,5.0,5.0,2382.0,2254.0,0.443,0.29,0.539,53.1,59.4,13.6,0.502,18.5,0.301,2.0,Pac-10,7.0,True,False,False,2011
6084,UNC Asheville,34,20,14,0.588,-0.69,-2.89,11.0,7.0,10.0,5.0,8.0,8.0,2506.0,2333.0,0.415,0.264,0.537,49.3,55.8,11.9,0.495,17.8,0.295,3.0,Big South,-1,False,False,False,2011
6085,UNC Greensboro,31,7,24,0.226,-9.95,-0.37,6.0,12.0,3.0,12.0,3.0,11.0,2204.0,2501.0,0.365,0.287,0.516,48.2,45.3,6.6,0.48,18.2,0.252,5.0,Southern,-1,False,False,False,2011
6086,UNC Wilmington,31,13,18,0.419,-3.41,-0.44,7.0,11.0,9.0,6.0,3.0,11.0,1975.0,2067.0,0.287,0.364,0.528,48.6,49.0,9.4,0.501,18.5,0.198,8.0,CAA,-1,False,False,False,2011
6087,UT Arlington,29,13,16,0.448,-7.59,-5.47,7.0,9.0,9.0,4.0,4.0,12.0,2055.0,1993.0,0.368,0.376,0.541,50.3,50.8,7.9,0.506,21.2,0.259,11.0,Southland,-1,False,False,False,2011
6088,Utah,31,13,18,0.419,2.46,6.56,6.0,10.0,9.0,6.0,4.0,9.0,2078.0,2177.0,0.358,0.317,0.515,49.5,40.6,12.2,0.478,17.4,0.249,7.0,MWC,-1,False,False,False,2011
6089,Utah State,34,30,4,0.882,13.23,0.5,15.0,1.0,17.0,0.0,11.0,3.0,2449.0,1995.0,0.427,0.314,0.569,55.7,59.5,9.2,0.527,15.7,0.315,1.0,WAC,12.0,True,False,False,2011
6090,Utah Valley,30,19,11,0.633,-7.78,-9.97,11.0,1.0,13.0,3.0,6.0,8.0,2276.0,2054.0,0.464,0.325,0.554,54.3,55.9,8.0,0.501,16.8,0.351,1.0,GWC,-1,False,False,False,2011
6091,UTEP,35,25,10,0.714,8.83,2.47,11.0,5.0,17.0,2.0,5.0,6.0,2470.0,2225.0,0.408,0.29,0.549,48.3,61.3,10.7,0.518,16.3,0.273,2.0,CUSA,-1,False,False,False,2011
6092,UTSA,34,20,14,0.588,-5.8,-4.93,9.0,7.0,11.0,3.0,5.0,10.0,2384.0,2363.0,0.414,0.356,0.532,48.9,53.6,6.5,0.491,17.1,0.292,10.0,Southland,16.0,True,False,False,2011
6093,Valparaiso,35,23,12,0.657,4.24,1.69,12.0,6.0,13.0,4.0,6.0,8.0,2564.0,2379.0,0.337,0.342,0.552,50.7,58.3,7.4,0.529,17.2,0.224,4.0,Horizon,-1,False,False,False,2011
6094,Vanderbilt,34,23,11,0.676,15.1,6.86,9.0,7.0,14.0,3.0,5.0,5.0,2581.0,2301.0,0.452,0.382,0.573,51.7,53.5,11.5,0.529,16.4,0.336,3.0,SEC,5.0,True,False,False,2011
6095,Vermont,32,23,9,0.719,0.14,-5.33,13.0,3.0,12.0,2.0,10.0,5.0,2147.0,1972.0,0.372,0.247,0.524,54.7,50.7,8.5,0.491,17.3,0.252,1.0,AEC,-1,False,False,False,2011
6096,Villanova,33,21,12,0.636,15.05,8.23,9.0,9.0,13.0,4.0,7.0,5.0,2384.0,2159.0,0.423,0.332,0.546,53.2,56.5,10.7,0.495,15.2,0.32,10.0,Big East,9.0,True,False,False,2011
6097,Virginia,31,16,15,0.516,6.01,6.55,7.0,9.0,11.0,6.0,4.0,6.0,1918.0,1935.0,0.32,0.362,0.517,48.2,53.0,8.9,0.485,15.4,0.221,8.0,ACC,-1,False,False,False,2011
6098,Virginia Commonwealth,40,28,12,0.7,8.56,3.78,12.0,6.0,11.0,3.0,8.0,6.0,2864.0,2673.0,0.37,0.412,0.547,47.0,60.2,9.1,0.511,14.7,0.264,4.0,CAA,11.0,True,True,False,2011
